N_bytes,stride,repeats,read_pct,threads,mean_time,std_time,mean_bw,std_bw,count
N_bytes=2097152,stride=1,repeats=5,read%=100,threads=1,0.014844333333333333,0.0003427248653560656,0.6583333333333333,0.015011106998930268,3
N_bytes=262144,stride=1,repeats=5,read%=100,threads=1,0.0018443333333333332,5.277625728803935e-05,0.6623333333333333,0.01858314648635514,3
N_bytes=268435456,stride=1,repeats=5,read%=100,threads=1,1.9243891666666666,0.013877349709748825,0.6495000000000001,0.004636809247747844,6
N_bytes=268435456,stride=1,repeats=5,read%=100,threads=2,0.9806683333333334,0.009797673822562903,1.2746666666666666,0.012503332889007316,3
N_bytes=268435456,stride=1,repeats=5,read%=100,threads=4,0.49784200000000006,0.004051646702268127,2.511,0.020518284528683258,3
N_bytes=268435456,stride=1,repeats=5,read%=100,threads=8,0.25289633333333333,0.0008060597579170757,4.942666666666667,0.01550268793897838,3
N_bytes=32768,stride=1,repeats=5,read%=100,threads=1,0.0002663333333333333,1.6563010998406474e-05,0.5746666666666667,0.03583759664560853,3
N_bytes=33554432,stride=1,repeats=5,read%=100,threads=1,0.23819266666666664,0.0016640283451111412,0.6563333333333333,0.004509249752822912,3
N_bytes=536870912,stride=1,repeats=5,read%=100,threads=1,3.8720153333333336,0.06659004084946439,0.6456666666666667,0.011060440015358016,3
N_bytes=67108864,stride=1,repeats=5,read%=0,threads=1,0.4855446666666667,0.0010885000382789619,0.6436666666666667,0.0015275252316519874,3
N_bytes=67108864,stride=1,repeats=5,read%=100,threads=1,0.48378733333333335,0.002019073417849548,0.646,0.0026832815729997458,6
N_bytes=67108864,stride=1,repeats=5,read%=50,threads=1,0.7167603333333333,0.008321542064625572,0.436,0.005196152422706636,3
N_bytes=67108864,stride=1,repeats=5,read%=70,threads=1,0.6247060000000001,0.011831827120102813,0.5006666666666667,0.009451631252505241,3
N_bytes=67108864,stride=1024,repeats=5,read%=100,threads=1,0.00049,1.9924858845171285e-05,0.6233333333333334,0.024542480178933318,3
N_bytes=67108864,stride=128,repeats=5,read%=100,threads=1,0.0037619999999999997,1.6370705543745058e-05,0.649,0.0026457513110646137,3
N_bytes=67108864,stride=16,repeats=5,read%=100,threads=1,0.030414333333333335,0.00017591001487502866,0.642,0.0036055512754639926,3
N_bytes=67108864,stride=2,repeats=5,read%=100,threads=1,0.241286,0.000284722672086374,0.6476666666666667,0.0005773502691896744,3
N_bytes=67108864,stride=256,repeats=5,read%=100,threads=1,0.0018313333333333333,0.0001035197243685151,0.6683333333333333,0.03873413653785677,3
N_bytes=67108864,stride=32,repeats=5,read%=100,threads=1,0.015026333333333334,0.00011482305227319673,0.6496666666666667,0.004932882862316264,3
N_bytes=67108864,stride=4,repeats=5,read%=100,threads=1,0.121332,0.0005851162277701792,0.644,0.0030000000000000027,3
N_bytes=67108864,stride=512,repeats=5,read%=100,threads=1,0.0009516666666666666,7.094598884597594e-06,0.6413333333333333,0.005131601439446851,3
N_bytes=67108864,stride=64,repeats=5,read%=100,threads=1,0.007549,6.285698051927109e-05,0.647,0.005567764362830027,3
N_bytes=67108864,stride=8,repeats=5,read%=100,threads=1,0.06071000000000001,6.808817812219296e-05,0.6433333333333334,0.0005773502691896423,3
